327,855
7,71
25,175
9,74
6,45
0,36
5,35
55,386
4,30
27,68
14,52
6,59
2,40
7,43
9,49
3,33
6,45
8,63
7,52
13,69
2,36
10,35
19,75
8,46
19,76
23,113
3,40
29,77
48,150
39,129
14,97
29,154
13,96
17,84
13,98
49,169
17,103
34,132
121,544
59,266
334,1166
2,50
215,1140
24,109
114,404
0,58
2,22
3,51
2,26
8,53
2,46
2,64
9,81
9,39
429,981
74,174
17,75
2,32
0,58
12,66
2,48
6,37
9,52
1,36
2,50
3,12
25,146
8,45
27,398
6,71
1,39
25,88
0,19
2,9
1139,2825
19,79
0,4
375,1115
18,97
25,37
5,56
3,21
77,419
0,4
1,67
6,45
27,76
4,81
70,283
0,13
0,1
0,18
0,3
0,7
25,65
0,3
147,401
4,26
0,9
3,30
19,78
0,2
56,286
415,1039
7,73
34,159
6,33
11,62
0,14
0,38
100,338
2,19
2,10
0,20
0,4
0,8
0,3
0,7
0,4
265,1301
873,2609
1,24
55,196
0,5
2,23
0,3
3,58
114,418
0,6
130,1272
18,98
2,26
156,519
18,77
0,5
0,28
0,6
9,42
2,33
1,13
0,6
83,263
99,205
6,75
5,41
226,670
1,10
9,156
0,5
0,3
55,160
5,79
1,27
0,21
0,6
62,173
20,74
5,53
2284,6807
142,526
1,41
0,3
32,174
0,6
0,4
0,7
0,12
3,79
74,166
1,37
5,28
1,31
9,37
3,39
5,35
4,20
3,13
5,49
8,51
4,35
4,41
13,80
39,226
3,23
168,441
266,638
0,24
0,40
0,2
0,21
6,75
2,34
3,32
0,9
0,9
7,50
10,61
5,60
3,51
0,7
3,33
30,94
338,897
0,11
20,97
14,150
0,21
13,59
0,22
0,20
23,94
0,2
0,30
0,18
0,2
0,7
2,32
0,13
8,42
15,68
0,2
0,4
27,100
9,68
0,5
16,80
583,1996
3,43
119,288
78,553
0,13
0,6
7,17
0,96
7,102
0,19
3,25
1,19
6,40
0,5
5,56
3,43
118,470
4,29
3,64
2,61
9,66
8,140
5,55
1,17
0,5
5,83
3,24
1,28
101,318
10,58
175,387
11,47
0,12
30,123
44,406
15,52
77,193
12,76
297,1115
581,2957
172,660
253,681
5,181
504,1375
320,1962
100,374
28,193
3,21
27,122
2,75
275,765
4,22
6,43
46,220
12,155
49,243
142,2443
60,291
10,111
4,89
42,177
0,10
0,21
91,481
0,12
5,25
3,21
21,100
5,89
22,124
59,157
21,137
61,236
3,22
33,120
0,28
2,20
267,975
521,1813
173,354
180,539
5,22
0,3
41,102
3,70
2,23
11,52
27,165
0,33
21,124
2,24
53,120
2218,6514
6,35
6,77
0,6
4,80
1,43
256,681
86,199
0,22
19,99
1,32
199,577
1,7
0,4
180,561
5,36
99,558
0,30
0,5
1,11
0,17
1,10
136,387
75,229
40,209
0,8
0,5
2,22
3,56
0,16
50,111
1,13
1,13
18,58
2,25
0,30
13,115
0,3
9,84
0,4
47,172
0,3
45,133
76,224
51,154
3,38
1,25
1,12
20,88
27,132
4,34
0,13
23,97
0,8
104,434
0,18
0,3
0,3
24,143
5,71
6,67
3,47
35,103
5,16
3,47
13,32
0,10
4,42
1,75
5,68
0,10
12,48
0,28
0,6
7,34
216,494
982,2988
0,3
2,27
10,141
95,441
56,156
424,1083
0,29
56,278
184,457
135,318
0,26
77,212
0,23
1,6
10,87
5,18
55,238
1,36
8,34
0,9
182,465
0,9
0,6
0,5
0,7
1,28
0,8
113,306
15,79
32,123
0,27
0,7
9,65
20,81
0,9
3,164
2,24
0,3
17,77
10,55
102,432
3,55
8,36
142,441
3,23
78,304
6,60
87,210
143,417
113,376
